,follicle_name,follicle_id
1,hair,F000001
2, hair follicle,F000001
3,anagen hair follicles,F000001
4,hair follic,F000001
5,hair follicle,F000001
6,Hair follicle,F000001
7,Hair Follicle,F000001
8,hair follicle ,F000001
9,hair follicles,F000001
10,Hair follicles,F000001
11,Hair Follicles,F000001
12,hair follicles ,F000001
13,Hair follicles ,F000001
14,hair-follicle,F000001
15,Hair-Follicle,F000001
16,Hair-follicle,F000001
17,HF,F000001
18,PHF,F000001
19,PHFs,F000001
20,primary and secondary hair follicles,F000001
21,primary hair follicle,F000001
22,primary hair follicles,F000001
23,secondary follicle,F000001
24,secondary follicles,F000001
25,secondary hair follicle,F000001
26,Secondary Hair Follicle,F000001
27,secondary hair follicles,F000001
28,Secondary hair follicles,F000001
29,SF,F000001
30,SHF,F000001
31,SHFs,F000001
32,The secondary hair follicle,F000001
33,the secondary hair follicle,F000001
34,THF,F000001
35,truncated hair follicles,F000001
36,VHF,F000001
37,VHFs,F000001
38,vibrissae hair follicle ,F000001
39,telogen hair follicles,F000001
40,follicles,F000001
41,HFs,F000001
42,hair follicle ,F000001
43,follicle ,F000001
44,development and growth,F000002
45,development of hair follicles,F000002
46,development of HF,F000002
47,follicle development,F000002
48,hair follicle (HF) development,F000002
49,Hair follicle (HF) development,F000002
50,hair follicle (HF) growth and development,F000002
51,hair follicle developmen,F000002
52,hair follicle development,F000002
53,Hair Follicle Development,F000002
54,Hair follicle development,F000002
55,hair follicle development ,F000002
56,hair follicle development and cycling,F000002
57,hair follicle developmental,F000002
58,hair follicle development-related genes,F000002
59,Hair follicle growth and development,F000002
60,hair follicle growth and development,F000002
61,hair development,F000002
62,HF development,F000002
63,HF development and cycling,F000002
64,HF development and regeneration,F000002
65,hair-follicle development,F000002
66,the development and growth cycle of hair follicles,F000002
67,the development and regeneration of hair follicles,F000002
68,the cycles of hair follicle growth,F000002
69,the development of hair follicle,F000002
70,the development of hair follicles,F000002
71,the development of the hair follicle,F000002
72,the regular development of hair follicles,F000002
73,secondary hair follicle development,F000002
74,secondary follicle development,F000002
75,hair follicle cycle development,F000002
76,hair follicular development,F000002
77,hair follicles developmental,F000002
78,HFs development,F000002
79,SF development,F000002
80,HFDRGs,F000002
81,follicle growth,F000003
82,growth of hair follicles,F000003
83,hair follicle (HF) growth,F000003
84,Hair Follicle Growth,F000003
85,hair follicle growth,F000003
86,Hair follicle growth,
87,the growth of the hair follicle,F000003
88,hair-growth,F000003
89,Hair-Growth,F000003
90,hair-follicle growth,F000003
91,HF growth,F000003
92,HF growth and cycling,F000003
93,HF growth and development,F000003
94,HF growth cycle,F000003
