,pmid,geneId,follicleId,pre_label,abstract,follicleName,geneName
0,23677168,200879,F000021,1,"Enpp2/Autotaxin in dermal papilla precursors is dispensable for hair follicle morphogenesis. Systematic ablation of previously identified dermal papilla (DP) signature genes in embryonic DP precursors will reveal their functional roles during hair follicle morphogenesis. In this study, we validate Enpp2/Autotaxin as one of the highest expressed signature genes in postnatal DP, and demonstrate specific expression of this lysophosphatidic acid (LPA)-generating enzyme in embryonic dermal condensates. We further identify dermal and epidermal expression of several LPA receptors, suggesting that LPA signaling could contribute to follicle morphogenesis in both mesenchymal and epithelial compartments. We then use the recently characterized Cre-expressing Tbx18 knock-in line to conditionally ablate Enpp2 in embryonic DP precursors. Despite efficient gene knockout in embryonic day 14.5 (E14.5) dermal condensates, morphogenesis proceeds regularly with normal numbers, lengths, and sizes of all hair follicle types, suggesting that Enpp2 is not required for hair follicle formation. To interrogate DP signature gene expression, we finally isolate control and Enpp2-null DP precursors and identify the expression and upregulation of LIPH, an alternative LPA-producing enzyme, suggesting that this gene could functionally compensate for the absence of Enpp2. We conclude that future coablation of both LPA-producing enzymes or of several LPA receptors may reveal the functional role of LPA signaling during hair follicle morphogenesis.",hair Follicle morphogenesis,LIPH
1,24023003,17125,F000029,1,"Smad1 and 5 but not Smad8 establish stem cell quiescence which is critical to transform the premature hair follicle during morphogenesis toward the postnatal state. Hair follicles (HFs) are regenerative miniorgans that offer a highly informative model system to study the regulatory mechanisms of hair follicle stem cells (hfSCs) homeostasis and differentiation. Bone morphogenetic protein (BMP) signaling is key in both of these processes, governing hfSCs quiescence in the bulge and differentiation of matrix progenitors. However, whether canonical or noncanonical pathways of BMP signaling are responsible for these processes remains unresolved. Here, we conditionally ablated two canonical effectors of BMP signaling, Smad1 and Smad5 during hair morphogenesis and postnatal cycling in mouse skin. Deletion of Smad1 and Smad5 (dKO) in the epidermis during morphogenesis resulted in neonatal lethality with lack of visible whiskers. Interestingly, distinct patterns of phospho-Smads (pSmads) activation were detected with pSmad8 restricted to epidermis and pSmad1 and pSmad5 exclusively activated in HFs. Engraftment of dKO skin revealed retarded hair morphogenesis and failure to differentiate into visible hair. The formation of the prebulge and bulge reservoir for quiescent hfSCs was precluded in dKO HFs which remained in prolonged anagen. Surprisingly, in postnatal telogen HFs, pSmad8 expression was no longer limited to epidermis and was also present in dKO bulge hfSCs and matrix progenitors. Although pSmad8 activity alone could not prevent dKO hfSCs precocious anagen activation, it sustained efficient postnatal differentiation and regeneration of visible hairs. Together, our data suggest a pivotal role for canonical BMP signaling demonstrating distinguished nonoverlapping function of pSmad8 with pSmad1 and pSmad5 in hfSCs regulation and hair morphogenesis but a redundant role in adult hair progenitors differentiation.",hair Follicle stem cells,Smad1
2,24142339,14580,F000003,1,"Comparison of nestin-expressing multipotent stem cells in the tongue fungiform papilla and vibrissa hair follicle. We have previously reported that hair follicles contain multipotent stem cells, which express nestin and participate in follicle growth at anagen as well as in the extension of the follicle sensory nerve. The nestin-driven green fluorescent protein (ND-GFP) transgenic mouse labels all nestin-expressing cells with GFP. The hair follicle nestin-GFP cells can differentiate into neurons, Schwann cells, and other cell types. In this study, we describe nestin-expressing multipotent stem cells in the fungiform papilla in the tongue. The nestin-expressing multipotent stem cells in the fungiform papilla are located around a peripheral sensory nerve immediately below the taste bud and co-express the neural crest cell marker p75(NTR) . The fungiform papilla cells formed spheres in suspension culture in DMEM-F12 medium supplemented with basic fibroblast growth factor (bFGF). The spheres consisted of nestin-expressing cells that co-expressed the neural crest marker p75(NTR) and which developed expression of the stem cell marker CD34. P75(NTR), CD34 and nestin co-expression suggested that nestin-expressing cells comprising the fungiform papilla spheres were in a relatively undifferentiated state. The nestin-expressing cells of these spheres acquired the following markers: beta III tubulin typical of nerve cells; GFAP typical of glial cells; K15 typical of keratinocytes; and smooth-muscle antigen (SMA), after transfer to RPMI 1640 medium with 10% fetal bovine serum (FBS), suggesting they differentiated into multiple cell types. The results of the current study indicate nestin-expressing fungiform papilla cells and the nestin-expressing hair follicle stem cells have common features of cell morphology and ability to differentiate into multiple cell types, suggesting their remarkable similarity.",Follicle growth,GFAP
3,24222445,7476,F000013,1,"Wnt7b is an important intrinsic regulator of hair follicle stem cell homeostasis and hair follicle cycling. The hair follicle (HF) is an exceptional mini-organ to study the mechanisms which regulate HF morphogenesis, cycling, hair follicle stem cell (hfSCs) homeostasis, and progeny differentiation. During morphogenesis, Wnt signaling is well-characterized in the initiation of HF patterning but less is known about which particular Wnt ligands are required and whether individual Wnt ligands act in an indispensable or redundant manner during postnatal hfSCs anagen onset and HF cycle progression. Previously, we described the function of the bone morphogenetic protein (BMP) signaling target gene WNT7a in intrinsic regulation of hfSCs homeostasis in vivo. Here, we investigated the role of Wnt7b, which was also intrinsically upregulated in hfSCs during physiological and precocious anagen after BMP inhibition in vivo. We demonstrated Wnt7b to be a direct target of canonical BMP signaling in hfSCs and using Wnt7b conditional gene targeting during HF morphogenesis revealed disrupted HF cycling including a shorter anagen, premature catagen onset with overall shorter hair production, and diminished HF differentiation marker expression. Additionally, we observed that postnatal ablation of Wnt7b resulted in delayed HF activation, affecting both the hair germ and bulge hfSCs but still maintaining a two-step sequence of HF stimulation. Interestingly, Wnt7b cKO hfSCs participated in reformation of the new HF bulge, but with slower self-renewal. These findings demonstrate the importance of intrinsic Wnt7b expression in hfSCs regulation and normal HF cycling and surprisingly reveal a nonredundant role for Wnt7b in the control of HF anagen length and catagen entry which was not compensated by other Wnt ligands.",hair Follicle cycling.,WNT7a
4,24507677,12387,F000003,1,"Dynamic Wnt5a expression in murine hair follicle cycle and its inhibitory effects on follicular. OBJECTIVE: To analyze the dynamic expression of Wnt family member 5A (Wingless-type MMTV integration Wnt site family, member 5a) in murine hair cycle and its inhibitory effects on follicle in vivo. METHODS: Situ hybridization in full-thickness skin was used to observe the change of mouse protein expression in different growth stages, and Ad-Wnt5a was injected after defeathering to observe the hair follicle growth in vivo. RESULTS: The Wnt5a mRNA was expressed at birth, and was firstly increased then decreased along with the progress of the hair cycle. It reached the peak in advanced stage of growth cycle (P<0.05). Rhoa and beta-catenin expression levels were significantly decreased in three groups. Rac2 expression was significantly up-regulated, and the expression level of Wnt5a, Shh and Frizzled2 was increased, but less significantly than group 2. CONCLUSIONS: The expression of Wnt5a mRNA is consistent with change of murine follicle cycle, and has obvious inhibitory effects on the growth of hair follicle in vivo, indicating that it is antagonistic to Wnts pathway and interferes the growth of follicle together.",hair Follicle growth,beta-catenin
5,24816226,13179,F000021,1,"Expression of decorin throughout the murine hair follicle cycle: hair cycle dependence and anagen phase prolongation. Decorin is a prototypical member of the small leucine-rich proteoglycan (SLRP) family, which is involved in numerous biological processes. The role of decorin, as a representative SLRP, in hair follicle morphogenesis has not been elucidated. We present our initial findings on decorin expression patterns during induced murine hair follicle (HF) cycles. It was found that decorin expression is exclusively restricted to the epidermis, outer root sheath and sebaceous glands during the anagen phase, which correlates with the upregulation of decorin mRNA and protein expression in depilated murine dorsal skin. Furthermore, we used a functional approach to investigate the effects of recombinant human decorin (rhDecorin) via cutaneous injection into HFs at various murine hair cycle stages. The local injection of rhDecorin (100 mug/ml) into the hypodermis of depilated C57BL/6 mice at anagen delayed catagen progression. In contrast, rhDecorin injection during the telogen phase caused the premature onset of anagen, as demonstrated by the assessment of the following parameters: (i) hair shaft length, (ii) follicular bulbar diameter, (iii) hair follicle cycling score and (iv) follicular phase percentage. Taken together, our results suggest that decorin may modulate follicular cycling and morphogenesis. In addition, this study also provides insight into the molecular control mechanisms governing hair follicular epithelial-mesenchymal interactions.",hair Follicle morphogenesis,decorin
6,24982158,9355,F000001,1,"Pygo2 regulates beta-catenin-induced activation of hair follicle stem/progenitor cells and skin hyperplasia. Understanding the epigenetic mechanisms that control the activation of adult stem cells holds the promise of tissue and organ regeneration. Hair follicle stem cells have emerged as a prime model to study stem cell activation. Wnt/beta-catenin signaling controls multiple aspects of skin epithelial regeneration, with its excessive activity promoting the hyperactivation of hair follicle stem/progenitor cells and tumorigenesis. The contribution of chromatin factors in regulating Wnt/beta-catenin pathway function in these processes is unknown. Here, we show that chromatin effector Pygopus homolog 2 (Pygo2) produced by the epithelial cells facilitates depilation-induced hair regeneration, as well as beta-catenin-induced activation of hair follicle stem/early progenitor cells and trichofolliculoma-like skin hyperplasia. Pygo2 maximizes the expression of Wnt/beta-catenin targets, but is dispensable for beta-catenin-mediated expansion of LIM/homeobox protein Lhx2(+) cells, in the stem/early progenitor cell compartment of the hair follicle. Moreover, beta-catenin and Pygo2 converge to induce the accumulation and acetylation of tumor suppressor protein p53 upon the cell cycle entry of hair follicle early progenitor cells and in cultured keratinocytes. These findings identify Pygo2 as an important regulator of Wnt/beta-catenin function in skin epithelia and p53 activation as a prominent downstream event of beta-catenin/Pygo2 action in stem cell activation.",hair Follicle,Lhx2
7,24982158,7157,F000001,1,"Pygo2 regulates beta-catenin-induced activation of hair follicle stem/progenitor cells and skin hyperplasia. Understanding the epigenetic mechanisms that control the activation of adult stem cells holds the promise of tissue and organ regeneration. Hair follicle stem cells have emerged as a prime model to study stem cell activation. Wnt/beta-catenin signaling controls multiple aspects of skin epithelial regeneration, with its excessive activity promoting the hyperactivation of hair follicle stem/progenitor cells and tumorigenesis. The contribution of chromatin factors in regulating Wnt/beta-catenin pathway function in these processes is unknown. Here, we show that chromatin effector Pygopus homolog 2 (Pygo2) produced by the epithelial cells facilitates depilation-induced hair regeneration, as well as beta-catenin-induced activation of hair follicle stem/early progenitor cells and trichofolliculoma-like skin hyperplasia. Pygo2 maximizes the expression of Wnt/beta-catenin targets, but is dispensable for beta-catenin-mediated expansion of LIM/homeobox protein Lhx2(+) cells, in the stem/early progenitor cell compartment of the hair follicle. Moreover, beta-catenin and Pygo2 converge to induce the accumulation and acetylation of tumor suppressor protein p53 upon the cell cycle entry of hair follicle early progenitor cells and in cultured keratinocytes. These findings identify Pygo2 as an important regulator of Wnt/beta-catenin function in skin epithelia and p53 activation as a prominent downstream event of beta-catenin/Pygo2 action in stem cell activation.",hair Follicle,p53
8,25948482,10763,F000001,1,"Feasibility of human hair follicle-derived mesenchymal stem cells/CultiSpher( )-G constructs in regenerative medicine. The use of human mesenchymal stem cells (hMSCs) in cell therapies has increased the demand for strategies that allow efficient cell scale-up. Preliminary data on the three-dimensional (3D) spinner culture describing the potential use of microcarriers for hMSCs culture scale-up have been reported. We exploited a rich source of autologous stem cells (human hair follicle) and demonstrated the robust in vitro long-term expansion of human hair follicle-derived mesenchymal stem cells (hHF-MSCs) by using CultiSpher( )-G microcarriers. We analyzed the feasibility of 3D culture by using hHF-MSCs/CultiSpher( )-G microcarrier constructs for its potential applicability in regenerative medicine by comparatively analyzing the performance of hHF-MSCs adhered to the CultiSpher( )-G microspheres in 3D spinner culture and those grown on the gelatin-coated plastic dishes (2D culture), using various assays. We showed that the hHF-MSCs seeded at various densities quickly adhered to and proliferated well on the microspheres, thus generating at least hundreds of millions of hHF-MSCs on 1 g of CultiSpher( )-G within 12 days. This resulted in a cumulative cell expansion of greater than 26-fold. Notably, the maximum and average proliferation rates in 3D culture were significantly greater than that of the 2D culture. However, the hHF-MSCs from both the cultures retained surface marker and nestin expression, proliferation capacity and differentiation potentials toward adipocytes, osteoblasts and smooth muscle cells and showed no significant differences as evidenced by Edu incorporation, cell cycle, colony formation, apoptosis, biochemical quantification and qPCR assays.",hair Follicle-derived,nestin
9,26247934,8626,F000001,1,"Ovine Hair Follicle Stem Cells Derived from Single Vibrissae Reconstitute Haired Skin. Hair follicle stem cells (HFSCs) possess fascinating self-renewal capacity and multipotency, which play important roles in mammalian hair growth and skin wound repair. Although HFSCs from other mammalian species have been obtained, the characteristics of ovine HFSCs, as well as the methods to isolate them have not been well addressed. Here, we report an efficient strategy to obtain multipotent ovine HFSCs. Through microdissection and organ culture, we obtained keratinocytes that grew from the bulge area of vibrissa hair follicles, and even abundant keratinocytes were harvested from a single hair follicle. These bulge-derived keratinocytes are highly positive for Krt15, Krt14, Tp63, Krt19 and Itga6; in addition to their strong proliferation abilities in vitro, these keratinocytes formed new epidermis, hair follicles and sebaceous glands in skin reconstitution experiments, showing that these are HFSCs from the bulge outer root sheath. Taken together, we developed an efficient in vitro system to enrich ovine HFSCs, providing enough HFSCs for the investigations about the ovine hair cycle, aiming to promote wool production in the future.",hair Follicles,Tp63
